,polygon,hex_index,Total_population,Percent_females,Median_age,Percent_white,Percent_black,Median_household_income,Total_housing_units,Percent_occupied_housing_units,Percent_housing_units_rented,Percent_unemployed,Population_above_16,Ethnic_diversity,Percent_single_parent_houshold
0,"POLYGON ((-75.26631193608462 39.9778174731461, -75.27256332331932 39.97670265529811, -75.2743776248103 39.97226397501102, -75.26994144826872 39.96894041733017, -75.26369103316863 39.970054992481955, -75.26187582257691 39.974493367978404, -75.26631193608462 39.9778174731461))",882a1349b3fffff,1337.603202614678,52.365053678002766,34.12080420922206,4.925412812705305,89.14247465550265,81452.60587312224,552.1417146967765,93.8196134741269,31.22150360036881,3.624995265849925,1066.350704209625,0.11790024656513924,73.49622917507605
1,"POLYGON ((-75.21596426183714 39.9168632890413, -75.2222086303 39.91575198092457, -75.22402527142833 39.91131764273958, -75.21959844987677 39.90799491802633, -75.21335505188792 39.90910598462701, -75.2115375050779 39.91354001742482, -75.21596426183714 39.9168632890413))",882aacb2c5fffff,0.0,,,,,,0.0,,,,0.0,0.0,
2,"POLYGON ((-75.00866841494724 40.03989490392037, -75.014933242646 40.03879321916889, -75.01677389259893 40.03435531777462, -75.01235062086236 40.03101941076468, -75.00608677214544 40.03212085758171, -75.00424521628617 40.03655844931129, -75.00866841494724 40.03989490392037))",882a13403dfffff,283.24005279664857,11.474531637315465,33.03980632199278,13.270648242041787,63.88464692247471,53818.391476922014,18.632199896155438,98.81992504866216,32.04252202054081,31.33933662800088,276.400052241823,0.2170276799925967,56.24999999999999
3,"POLYGON ((-75.2181108293195 39.98228606840279, -75.22436379735299 39.98117379494476, -75.2261827524847 39.976735661853866, -75.22174964792138 39.97341010785796, -75.21549765301431 39.974522139532446, -75.21367778964579 39.97895996695411, -75.2181108293195 39.98228606840279))",882a1348a7fffff,563.6353135125364,61.2338395055308,39.43368181369075,0.4204190478214464,92.17681224389084,47704.37901741966,265.58299935343877,85.95820219035733,51.158111269431494,10.160990771363018,493.827894543323,0.051921967799298994,100.0
4,"POLYGON ((-75.05661192373782 40.06437776394154, -75.06287903859958 40.06327317276842, -75.0647161843076 40.05883305808675, -75.06028712314915 40.05549784348363, -75.05402098749204 40.05660219571153, -75.05218293389161 40.0610420014558, -75.05661192373782 40.06437776394154))",882a13410bfffff,1786.457256242127,43.06291278566358,37.84654486184605,46.68255910555988,7.791421081034132,63334.76278422766,691.5814509077867,94.44340089927618,40.35521435118119,6.335523302629653,1279.808628521307,0.5965263736851611,68.31337218919795
5,"POLYGON ((-75.22902320802413 39.955660878710795, -75.23527243298068 39.9545483618573, -75.23708935068774 39.95011157529875, -75.23265795098888 39.94678761090667, -75.2264096978812 39.947899885858526, -75.22459187272496 39.95233636707184, -75.22902320802413 39.955660878710795))",882aacb209fffff,988.772914998403,53.61735138942341,39.21136991294469,11.1643777841637,77.32506266745344,47610.45776288252,552.2448761102432,87.71150503005029,43.299709346279265,7.444400840232784,839.4621944790489,0.25623339117126964,50.237199163734985
6,"POLYGON ((-75.1104063966616 40.046651317160425, -75.11667007740273 40.04554403858015, -75.1185015321809 40.041104026965606, -75.11407021470228 40.0377716017958, -75.1078075115395 40.03887864045029, -75.10597514837954 40.043318344168306, -75.1104063966616 40.046651317160425))",882a134ac1fffff,1181.7202093568665,59.676867593632466,36.4679262694075,5.766544765350034,55.79774863564498,58128.47255447215,469.5027565054677,89.58526089798602,50.55925003524554,1.61445647954077,858.5894992155087,0.5015192801857284,68.23304410428817
7,"POLYGON ((-75.14593232080294 39.97453064273159, -75.15218573389588 39.973422367670025, -75.1540110980806 39.96898588880025, -75.14958395565709 39.96565799187186, -75.14333151657485 39.96676602656789, -75.14150524600731 39.97120219852576, -75.14593232080294 39.97453064273159))",882a134f25fffff,1623.6429350310032,50.84975681443548,35.20554565466244,46.6851330428051,26.961116394529625,100783.14956064627,811.9733973218016,92.52064939978116,65.51057942608064,3.9599982038964883,1472.4823263607493,0.5602356313623509,29.95998121552381
8,"POLYGON ((-75.21573109962144 39.94568729201141, -75.22197927897933 39.9445756219184, -75.22379704860532 39.94013963023684, -75.21936754575592 39.93681561414849, -75.21312033805926 39.93792704263024, -75.21130166165221 39.94236272877937, -75.21573109962144 39.94568729201141))",882aacb257fffff,817.684014611937,55.43939870802496,38.961247585408984,17.140164200771473,64.80166727379236,67453.90455431663,426.04199094763106,85.46583301066728,60.66439313265349,3.8846548668515406,588.6041386502915,0.3300450660851184,58.64527754803528
9,"POLYGON ((-75.19462321400792 39.91243725169379, -75.20086743382323 39.911327151512424, -75.20268588600118 39.90689342428019, -75.1982610235191 39.90357010294105, -75.19201777435183 39.90467996203229, -75.19019841711989 39.90911338352064, -75.19462321400792 39.91243725169379))",882aacb2cbfffff,109.35285906003028,44.71231878112055,31.959436281394442,58.96407707809616,22.1250325474508,126415.35628999608,57.66365650826294,89.52640955333185,48.648425782638924,1.0058885030244888,86.01822490632698,0.04502141601027261,48.392539285334074
10,"POLYGON ((-75.21619714018081 39.888050139088406, -75.22243770239427 39.88693919334157, -75.2242532164247 39.88250650997248, -75.21982907292706 39.879185077559924, -75.21358948000257 39.88029578188593, -75.2117730613878 39.88472816001317, -75.21619714018081 39.888050139088406))",882aacb283fffff,0.0,,,,,,0.0,,,,0.0,0.0,
11,"POLYGON ((-75.09742054853407 40.00779530602617, -75.10367934416558 40.00668922630815, -75.10551050130724 40.0022516575914, -75.10108376952758 39.998920476495975, -75.0948259500839 40.00002631667141, -75.0929938863344 40.004463577452846, -75.09742054853407 40.00779530602617))",882a134a9bfffff,1020.1702160046643,61.101314901410966,30.03429912200811,27.518121317877462,21.653569224985457,58566.083694024135,423.09447772549464,85.10796369378838,24.236621326236563,5.879556014691065,659.6259952816724,0.4846957939849002,39.30628955027811
12,"POLYGON ((-75.07249725622721 40.08216200397132, -75.07876641112738 40.08105632646803, -75.08060277021382 40.07661492694058, -75.07617088342563 40.073279513628044, -75.06990270820413 40.0743849518184, -75.0680654401951 40.078826042602216, -75.07249725622721 40.08216200397132))",882a13416bfffff,1754.4540570158545,50.0983652126996,44.24129385752733,72.45566025563154,9.68769864967783,82181.89926638556,843.55952163542,94.39166377293928,48.2988978417842,3.329273332789205,1464.1574652893382,0.4218792392286512,17.915002969858886
13,"POLYGON ((-75.06179636608567 40.079931111895256, -75.0680654401951 40.078826042602216, -75.06990270820413 40.0743849518184, -75.06547181081012 40.071049239217956, -75.05920371646432 40.072154069412804, -75.05736553985186 40.076594851274294, -75.06179636608567 40.079931111895256))",882a134147fffff,698.80059953572,62.14277394656652,69.27813957071791,62.96503691861897,24.64975200041641,89081.51707973296,189.1194965953428,98.78221346340888,7.664256032012338,18.90140069672234,615.6245488012976,0.4693289032548216,4.173962551342279
14,"POLYGON ((-75.12948307426298 40.014468642357016, -75.13574210559446 40.01336074341814, -75.13757054100974 40.00892225196606, -75.13314085275495 40.00559196682071, -75.12688279735464 40.006699625574946, -75.12505345438021 40.011137809627094, -75.12948307426298 40.014468642357016))",882a134ab9fffff,1426.150413314218,41.099730546326924,35.028018309379505,7.781871795048154,43.62540582859278,33253.20709006347,439.1958997090781,89.49017904946585,46.362332862773066,16.666373404412187,1053.9170108990659,0.32774574903240694,83.38438436542711
15,"POLYGON ((-75.05402098749204 40.05660219571153, -75.06028712314915 40.05549784348363, -75.06212420760556 40.05105821696819, -75.05769606404489 40.04772325159354, -75.0514309073131 40.04882736495263, -75.04959291531952 40.05326668252319, -75.05402098749204 40.05660219571153))",882a13411dfffff,1625.6315121820958,56.37646773811673,43.063411858228974,45.97846653540279,19.515817293463122,51856.47866286897,697.0086087317244,98.95988818478527,47.042174053612655,6.353679495176397,1340.8382217552487,0.639732282312532,39.786294014435484
16,"POLYGON ((-75.0433268611594 40.05437042726462, -75.04959291531952 40.05326668252319, -75.0514309073131 40.04882736495263, -75.04700375246773 40.045492101214734, -75.04073867731732 40.0465956073019, -75.03889977810546 40.05103461574928, -75.0433268611594 40.05437042726462))",882a134119fffff,974.561358592561,55.291854213901956,56.96485733976375,54.07107299165712,17.993856742364642,66457.20360648415,390.1795233053585,96.54522994171923,28.659642285793666,14.457275175583975,841.462917268236,0.5284463204595096,13.339994088737846
17,"POLYGON ((-75.24429005449565 40.05996582916262, -75.25055276898382 40.05885113361929, -75.25237227632172 40.054408112365536, -75.24792998106497 40.05108009220533, -75.24166824246664 40.052194545192016, -75.2398478233373 40.056637260863155, -75.24429005449565 40.05996582916262))",882a134951fffff,1499.3233799741313,59.309750737647974,52.81336044568312,77.0066195780745,8.759856129738518,88754.02437962643,793.4281383804257,92.38211329291401,30.439517332766798,4.225513606188346,1313.4453446080406,0.3986055251520114,25.079621061218152
18,"POLYGON ((-75.18344869555638 39.967876141023886, -75.189700466211 39.966765925788614, -75.19152208843926 39.962329199503614, -75.1870928470518 39.95900299463572, -75.1808420495094 39.960112968805, -75.17901952034393 39.964549388876016, -75.18344869555638 39.967876141023886))",882a1348bbfffff,557.5569100725617,52.661107517590516,25.658771084903194,46.855376356195436,35.58572907527847,67815.06266614683,268.994223288741,62.94119851045299,88.49598629971513,11.118196867440846,494.54909873641714,0.17921311657443625,65.2020559386468
19,"POLYGON ((-75.08901776370026 40.04219780724682, -75.09528128590665 40.041091743227355, -75.09711455713047 40.03665234758456, -75.09268521399635 40.033319324183, -75.08642266953915 40.03442514870537, -75.08458849056947 40.038864236094376, -75.08901776370026 40.04219780724682))",882a134137fffff,766.4461929086723,59.35224212727847,29.174369831907804,5.602404067645467,63.28423672800827,45454.47185212938,287.6768729559615,95.89518975884565,71.03664418705779,12.679654071967844,524.4996888295387,0.2512525082962704,77.18658337064662
20,"POLYGON ((-75.16911594808829 40.073316852922446, -75.17538197238224 40.072206054333, -75.17720899550613 40.06776352937736, -75.17277090512037 40.06443210996406, -75.1665058585292 40.06554266740208, -75.16467792472349 40.06998488537262, -75.16911594808829 40.073316852922446))",882a134a23fffff,1128.9165919131203,53.835662462099634,45.31184093868059,2.898350690366641,92.1497006825044,63570.76862365238,530.3533981836116,90.22734771670822,18.62790215584949,15.549520566933978,943.6277608342737,0.1156507417353488,62.543151549660976
21,"POLYGON ((-75.06990270820413 40.0743849518184, -75.07617088342563 40.073279513628044, -75.07800718175102 40.0688386021056, -75.07357621352467 40.065503437492815, -75.06730901770239 40.066608636446816, -75.06547181081012 40.071049239217956, -75.06990270820413 40.0743849518184))",882a13410dfffff,1444.796710434285,47.90878980268497,47.66313907037771,60.57917951322822,11.777948702856692,100804.37038667279,561.6513761483519,98.73679167132947,17.90997739030991,5.239248918019985,1208.82143476484,0.513684113835348,25.60321175145326
22,"POLYGON ((-75.14045231085498 39.98784129716044, -75.14670759569216 39.986733147003434, -75.14853398279347 39.98229599682169, -75.14410599193435 39.97896730383938, -75.13785168174743 39.98007521369101, -75.13602438787142 39.984512056798245, -75.14045231085498 39.98784129716044))",882a1348dbfffff,1331.2200443593847,51.998229761258365,31.96256816183142,16.447423420384546,32.81102442733217,41356.90575911047,623.7268723292193,84.34583059394211,60.791358508429475,11.890433006316096,1022.4626426210103,0.5064052071648455,66.72966725749507
23,"POLYGON ((-75.01900352178694 40.07099847315216, -75.02527226821002 40.069895835901086, -75.02711316871661 40.065455981877626, -75.0226862302289 40.0621190747094, -75.01641846390667 40.063221473721256, -75.01457665607441 40.06766101810868, -75.01900352178694 40.07099847315216))",882a134065fffff,1889.4426653968992,57.752262777772366,36.06857741013319,39.46706220523441,35.171801997632414,61379.32821676582,853.5423684639803,98.05805040707146,68.27006195131067,8.433455536573815,1430.6671848582298,0.5752944501892777,45.39919610180488
24,"POLYGON ((-74.99982978931345 40.103185363601035, -75.0061031911895 40.1020833604224, -75.00794712973669 40.09764199667372, -75.00351857465411 40.09430294620667, -74.99724615453191 40.095404711409685, -74.99540130784185 40.099845765023524, -74.99982978931345 40.103185363601035))",882a13430bfffff,31.027745598102204,57.31707317073171,39.6,88.3183568677792,0.5134788189987163,114620.0,9.439763423299386,100.0,1.4767932489451476,12.994350282485875,25.371853589205525,0.003847127048940002,9.266409266409266
25,"POLYGON ((-75.20123424196636 40.07997672682327, -75.20750049335977 40.078864103335256, -75.20932478253377 40.074420658501346, -75.20488373205063 40.071090143569634, -75.19861845809757 40.07220252526296, -75.19679325728964 40.076645663650375, -75.20123424196636 40.07997672682327))",882a134b11fffff,1557.1825932666727,55.3365188539254,56.0354567070991,78.353054144046,9.716877273865975,115639.03405197071,797.6307299898344,93.75768801357127,39.002009845847894,3.0317025926983945,1394.139107955788,0.33591670164569515,27.40792156257196
26,"POLYGON ((-75.23730952499517 39.92128571571515, -75.24355404030919 39.92017319935381, -75.24536886913317 39.91573825093008, -75.24094008905327 39.912416123865526, -75.23469654403827 39.913528398284896, -75.23288080890534 39.917963041678554, -75.23730952499517 39.92128571571515))",882aacb2edfffff,1561.7919401519937,60.209297674542626,38.31346863864221,3.87019477216157,83.8787906154125,41035.94016253481,659.9773715533478,92.27740942967584,46.207070040301055,10.566502233122407,1298.0834365579371,0.29205507530419833,81.89758971037291
27,"POLYGON ((-75.16782169610724 39.92130817768982, -75.17406763222613 39.9201994076969, -75.17588891299408 39.91576561857276, -75.17146516256153 39.91244090567186, -75.16522019790054 39.91354943506004, -75.16339801231571 39.91798291792181, -75.16782169610724 39.92130817768982))",882a134d39fffff,1400.6701449688474,48.57999595550881,43.823743710969495,83.39397064483498,1.916469409311619,105565.70357748072,668.2757586280073,94.36585106038625,21.085784631012,3.2933964094008257,1205.4811135877474,0.1819874452971465,36.291790283309396
28,"POLYGON ((-75.16703315718937 40.00781638600704, -75.17329054557638 40.00670654234324, -75.17511523302161 40.00226780066089, -75.17068344029798 39.9989392093113, -75.16442702694242 40.00004881208842, -75.16260143138108 40.004487247069626, -75.16703315718937 40.00781638600704))",882a1348c1fffff,1030.9978166793053,58.229013926605035,44.45338149243897,6.099977497756702,87.46339486312355,40375.400567429584,562.8336549705458,83.63222844352924,40.21977471210064,16.107894510490883,832.3747950378255,0.1873818149141895,87.25566130061374
29,"POLYGON ((-75.00572483228966 40.0609860599737, -75.01199251547656 40.059884268557184, -75.01383426041525 40.05544521221937, -75.00940922892107 40.05210825708756, -75.00314252563872 40.053209810555764, -75.00129987404908 40.05764855707224, -75.00572483228966 40.0609860599737))",882a134063fffff,1317.1374533817054,53.96145831744057,47.16506181487828,79.1123068521113,9.179337104690578,88890.01986459018,595.8483577610725,97.39619948878362,32.38423560945194,6.032725621440577,1139.8495587767939,0.23134722413377237,32.00041103093701
30,"POLYGON ((-75.10291486693811 39.9944833965878, -75.10917178965983 39.99337718997839, -75.11100192105486 39.98894029118256, -75.10657603604702 39.98560990673649, -75.10032008887254 39.98671587374248, -75.0984890512609 39.99115246476597, -75.10291486693811 39.9944833965878))",882a134f45fffff,1019.889554236682,51.29282276815154,41.82711826686952,72.7184407564614,5.417538803101727,58841.23722245384,527.4439239926135,88.44642114219755,28.090418825000206,5.174329138728523,831.4511837504127,0.31319761835849785,55.400840532075684
