hex_index,polygon
882aa8c2d5fffff,"POLYGON ((-76.5908580977363 39.32608393318438, -76.59699492062948 39.32490778636213, -76.5986622781304 39.3204865074786, -76.59419372379195 39.31724165333148, -76.58805782381663 39.3184175349487, -76.5863895553534 39.32283853588345, -76.5908580977363 39.32608393318438))"
882aa8d53bfffff,"POLYGON ((-76.5568265458792 39.3408031290923, -76.5629660782069 39.33962854675229, -76.56463710871758 39.3352068906418, -76.56016951786609 39.33196009546838, -76.55403090964575 39.33313441317168, -76.55235896826127 39.33755579065053, -76.5568265458792 39.3408031290923))"
882aa8c233fffff,"POLYGON ((-76.63890686448455 39.349688980092466, -76.64504558812251 39.348509941895415, -76.64670931404844 39.34408655983578, -76.64223522921466 39.34084249311886, -76.6360974285363 39.34202126512757, -76.63443278982349 39.34644437000678, -76.63890686448455 39.349688980092466))"
882aa8d5a9fffff,"POLYGON ((-76.55625010651409 39.31220521308965, -76.5623859602072 39.311031099555876, -76.56405603963252 39.30661115190226, -76.5595911752238 39.30336559626272, -76.55345624453739 39.30453944528702, -76.55178525534456 39.30895911442578, -76.55625010651409 39.31220521308965))"
882aa8c049fffff,"POLYGON ((-76.66294927203744 39.36148696293591, -76.66908894308054 39.36030647735194, -76.67075084930312 39.355882045018326, -76.66627399827318 39.352638375029045, -76.66013525020861 39.3538185939328, -76.65847243028678 39.35824274947122, -76.66294927203744 39.36148696293591))"
882aa8c2c3fffff,"POLYGON ((-76.59365927625798 39.33375105965575, -76.59979702231583 39.3325746475454, -76.6014643888009 39.32815287194994, -76.59699492062948 39.32490778636213, -76.5908580977363 39.32608393318438, -76.5891898199414 39.33050543084791, -76.59365927625798 39.33375105965575))"
882aa8c039fffff,"POLYGON ((-76.68851002762575 39.32373676524109, -76.69464421030713 39.322555520462615, -76.69630242562145 39.31813296223972, -76.69182737108106 39.31489192492451, -76.68569410944623 39.3160729027074, -76.68403498139624 39.32049518476623, -76.68851002762575 39.32373676524109))"
882aa8c709fffff,"POLYGON ((-76.58186859920424 39.27450362128277, -76.58799898206723 39.27332874089827, -76.58966536537305 39.268910663120295, -76.58520227472336 39.26566774357504, -76.57907281294106 39.2668423591314, -76.57740552081896 39.27126015902661, -76.58186859920424 39.27450362128277))"
882aa8c02bfffff,"POLYGON ((-76.7019388441375 39.33346133899637, -76.70807395834431 39.33227923728484, -76.70973126607021 39.327855906344354, -76.7052543730448 39.32461495304295, -76.6991201800155 39.325796787471425, -76.69746195892509 39.330219842449495, -76.7019388441375 39.33346133899637))"
882aa8d509fffff,"POLYGON ((-76.54679017301942 39.36733794411875, -76.55293337209226 39.36616348398307, -76.55460626675043 39.36174039936371, -76.550136874126 39.35849205377718, -76.54399460037494 39.359666249353616, -76.54232079401844 39.364089055041255, -76.54679017301942 39.36733794411875))"
882aa8c75dfffff,"POLYGON ((-76.56347566902265 39.278026438652724, -76.56960694256311 39.2768524702153, -76.57127515317208 39.272434451156556, -76.56681299893087 39.26919067873244, -76.56068264694058 39.27036438266654, -76.5590135277326 39.274782123493544, -76.56347566902265 39.278026438652724))"
