hex_index,polygon
882664cb25fffff,"POLYGON ((-87.83929195727676 41.947579836096054, -87.84532885697413 41.9457624566453, -87.8459562668948 41.9411072810134, -87.84054793551746 41.93826953794223, -87.83451175512789 41.94008645828135, -87.83388318683905 41.944741580750545, -87.83929195727676 41.947579836096054))"
882664c869fffff,"POLYGON ((-87.77919418687532 41.92100206640927, -87.78523088297146 41.91918847641365, -87.78586408359057 41.91453478042346, -87.78046174499445 41.911694728871254, -87.77442576942144 41.91350786070556, -87.77379141195304 41.91816150220074, -87.77919418687532 41.92100206640927))"
882664c8cdfffff,"POLYGON ((-87.72774820692267 41.873980412770464, -87.73378155076067 41.87217077498127, -87.73441936822216 41.86751972419961, -87.72902499621027 41.86467836680096, -87.7229923731728 41.8664875474237, -87.72235340137863 41.87113854255898, -87.72774820692267 41.873980412770464))"
882664ccc9fffff,"POLYGON ((-87.57008194667017 41.76076644954612, -87.57610902581223 41.758968008093504, -87.57676136704355 41.75432335785975, -87.5713877773322 41.751477208174556, -87.56536142077024 41.75327519528903, -87.5647079313724 41.7579197863745, -87.57008194667017 41.76076644954612))"
882664cf19fffff,"POLYGON ((-87.62405128510923 41.82924888662712, -87.63008439195255 41.82744574845437, -87.63073218591279 41.8227972132925, -87.62534802481991 41.81995187418896, -87.61931564088239 41.82175455683438, -87.61866669516458 41.8264030340582, -87.62405128510923 41.82924888662712))"
882664565dfffff,"POLYGON ((-87.6073521341576 41.700699664177634, -87.6133693941783 41.69890111119803, -87.6140170932945 41.694259885113816, -87.60864867773971 41.691417270317466, -87.60263213717757 41.69321536893152, -87.60198329274412 41.69785653665522, -87.6073521341576 41.700699664177634))"
882664c125fffff,"POLYGON ((-87.67906228776376 41.93317416876042, -87.685106006974 41.93136524571882, -87.68574962609974 41.92671083726281, -87.68035068318325 41.92386540848064, -87.67430768827474 41.925673874532066, -87.67366291201338 41.930328226303175, -87.67906228776376 41.93317416876042))"
882664cdd3fffff,"POLYGON ((-87.63097420989419 41.73812710565163, -87.6369950683238 41.73632627911814, -87.63764088264402 41.73168292324379, -87.6322669858182 41.728840451678494, -87.62624684721897 41.73064082327102, -87.62559988564755 41.735284121317484, -87.63097420989419 41.73812710565163))"
882664cc15fffff,"POLYGON ((-87.60901530160933 41.771396258795285, -87.61504167361515 41.76959555933003, -87.61569019246 41.764950307707494, -87.61031348815982 41.762105813790605, -87.60428783775859 41.76390605834623, -87.60363817008557 41.768551251676, -87.60901530160933 41.771396258795285))"
882664cf61fffff,"POLYGON ((-87.6725392165856 41.854852913299375, -87.67857304970296 41.853046599543624, -87.67921624635183 41.84839662013107, -87.67382676311263 41.84555301128656, -87.66779365206554 41.84735886871312, -87.66714930221968 41.85200879126086, -87.6725392165856 41.854852913299375))"
882664ce37fffff,"POLYGON ((-87.58702358271816 41.804676384541224, -87.59305547628666 41.80287581676597, -87.59370670682911 41.79822867249743, -87.58832719424326 41.79538215471079, -87.58229602405846 41.79718226760902, -87.58164364310865 41.801829353118535, -87.58702358271816 41.804676384541224))"
882664cf69fffff,"POLYGON ((-87.66586021032953 41.86130942703058, -87.67189524740523 41.85950325966199, -87.6725392165856 41.854852913299375, -87.66714930221968 41.85200879126086, -87.66111498764171 41.85381450233683, -87.66046986496427 41.85846479169141, -87.66586021032953 41.86130942703058))"
882664c1adfffff,"POLYGON ((-87.63912440648136 41.88713767856642, -87.64516426223445 41.8853320995349, -87.64581132566005 41.88068028709325, -87.64041968806288 41.87783411121233, -87.63438055651959 41.87963923409845, -87.6337323383963 41.88429098895833, -87.63912440648136 41.88713767856642))"
882664cd1bfffff,"POLYGON ((-87.6660381056066 41.77660364244706, -87.67206208473486 41.77479993883013, -87.67270485808564 41.7701543994904, -87.66732480161869 41.76731262075905, -87.66130154233943 41.76911586870779, -87.6606576197103 41.77376135100368, -87.6660381056066 41.77660364244706))"
882664cc37fffff,"POLYGON ((-87.63376403563447 41.75954702508469, -87.63978753236741 41.75774543347539, -87.64043336091524 41.753100858850615, -87.63505684108596 41.75025793353993, -87.62903406475648 41.75205907001448, -87.62838708788523 41.75670358688209, -87.63376403563447 41.75954702508469))"
882664d8ebfffff,"POLYGON ((-87.68084376206754 42.00406068953165, -87.68689667308722 42.00224961573408, -87.6875410976524 41.99759121104157, -87.6821337719313 41.99474393670626, -87.67608158738066 41.99655455296839, -87.67543600211468 42.00121290104853, -87.68084376206754 42.00406068953165))"
882664cd59fffff,"POLYGON ((-87.66217488870669 41.80448304719117, -87.66820270941632 41.80267872235467, -87.6688462644539 41.798031598220625, -87.66346314946625 41.79518885598593, -87.65743604960429 41.79699272499656, -87.65679134391456 41.80163979201533, -87.66217488870669 41.80448304719117))"
882664cde9fffff,"POLYGON ((-87.67936964130782 41.76370537979752, -87.68539122160756 41.76190138697338, -87.68603245596529 41.75725658381647, -87.68065325873675 41.75441583018984, -87.674632397436 41.75621936727336, -87.67399001439686 41.76086411367176, -87.67936964130782 41.76370537979752))"
882664c80bfffff,"POLYGON ((-87.75345892665608 41.89749155016895, -87.75949394761369 41.895679937203994, -87.76012945912849 41.89102756275123, -87.75473110530812 41.88818685628207, -87.74869680501348 41.88999801158316, -87.74806013790801 41.894650330964666, -87.75345892665608 41.89749155016895))"
882664cd23fffff,"POLYGON ((-87.72306566201858 41.78178241941286, -87.72908723591515 41.779975713886536, -87.72972426154121 41.77532989307552, -87.72434086302427 41.77249083353288, -87.71832000721639 41.77429708263494, -87.71768183186856 41.778942847651464, -87.72306566201858 41.78178241941286))"
882664d88bfffff,"POLYGON ((-87.65986342287738 41.988010495888844, -87.66591536524903 41.98620094334356, -87.666561716484 41.9815434392772, -87.6611572852035 41.978695544784024, -87.65510606950836 41.980504640177664, -87.65445855844987 41.9851620871634, -87.65986342287738 41.988010495888844))"
882664c849fffff,"POLYGON ((-87.74963928884576 41.925411950694375, -87.75567816696463 41.92359971319162, -87.75631445340689 41.91894575915093, -87.75091301873869 41.91610409770121, -87.74487486228432 41.91791587738142, -87.74423741886552 41.922569776281236, -87.74963928884576 41.925411950694375))"
882664ca6dfffff,"POLYGON ((-87.74390109314513 41.96731030767696, -87.74994576613861 41.965497135138676, -87.75058321762172 41.96084081447272, -87.74517715520335 41.957997721538035, -87.73913320538053 41.95981043601616, -87.73849459483742 41.96446670143638, -87.74390109314513 41.96731030767696))"
882664d813fffff,"POLYGON ((-87.67890776243134 42.018037785902266, -87.68496261225596 42.01622640359478, -87.68560743042889 42.011567212051915, -87.68019856020747 42.008719459412085, -87.67414443735797 42.010530384105664, -87.67349845778735 42.0151895190002, -87.67890776243134 42.018037785902266))"
882664cabdfffff,"POLYGON ((-87.69821471177828 41.878373186045614, -87.70425022852983 41.87656489956526, -87.70489112672065 41.871913593148356, -87.6994976626483 41.86907062945045, -87.693462867834 41.87087845910381, -87.69282081518698 41.875529709229504, -87.69821471177828 41.878373186045614))"
8826645605fffff,"POLYGON ((-87.64344733714375 41.68990462919183, -87.64946125392277 41.688104590026505, -87.65010512595246 41.68346398499485, -87.64473622613978 41.68062347665389, -87.63872302727451 41.682423061078254, -87.63807801034038 41.68706360853229, -87.64344733714375 41.68990462919183))"
