hex_index,polygon
882a1349b3fffff,"POLYGON ((-75.26631193608462 39.9778174731461, -75.27256332331932 39.97670265529811, -75.2743776248103 39.97226397501102, -75.26994144826872 39.96894041733017, -75.26369103316863 39.970054992481955, -75.26187582257691 39.974493367978404, -75.26631193608462 39.9778174731461))"
882aacb2c5fffff,"POLYGON ((-75.21596426183714 39.9168632890413, -75.2222086303 39.91575198092457, -75.22402527142833 39.91131764273958, -75.21959844987677 39.90799491802633, -75.21335505188792 39.90910598462701, -75.2115375050779 39.91354001742482, -75.21596426183714 39.9168632890413))"
882a13403dfffff,"POLYGON ((-75.00866841494724 40.03989490392037, -75.014933242646 40.03879321916889, -75.01677389259893 40.03435531777462, -75.01235062086236 40.03101941076468, -75.00608677214544 40.03212085758171, -75.00424521628617 40.03655844931129, -75.00866841494724 40.03989490392037))"
882a1348a7fffff,"POLYGON ((-75.2181108293195 39.98228606840279, -75.22436379735299 39.98117379494476, -75.2261827524847 39.976735661853866, -75.22174964792138 39.97341010785796, -75.21549765301431 39.974522139532446, -75.21367778964579 39.97895996695411, -75.2181108293195 39.98228606840279))"
882a13410bfffff,"POLYGON ((-75.05661192373782 40.06437776394154, -75.06287903859958 40.06327317276842, -75.0647161843076 40.05883305808675, -75.06028712314915 40.05549784348363, -75.05402098749204 40.05660219571153, -75.05218293389161 40.0610420014558, -75.05661192373782 40.06437776394154))"
882aacb209fffff,"POLYGON ((-75.22902320802413 39.955660878710795, -75.23527243298068 39.9545483618573, -75.23708935068774 39.95011157529875, -75.23265795098888 39.94678761090667, -75.2264096978812 39.947899885858526, -75.22459187272496 39.95233636707184, -75.22902320802413 39.955660878710795))"
882a134ac1fffff,"POLYGON ((-75.1104063966616 40.046651317160425, -75.11667007740273 40.04554403858015, -75.1185015321809 40.041104026965606, -75.11407021470228 40.0377716017958, -75.1078075115395 40.03887864045029, -75.10597514837954 40.043318344168306, -75.1104063966616 40.046651317160425))"
882a134f25fffff,"POLYGON ((-75.14593232080294 39.97453064273159, -75.15218573389588 39.973422367670025, -75.1540110980806 39.96898588880025, -75.14958395565709 39.96565799187186, -75.14333151657485 39.96676602656789, -75.14150524600731 39.97120219852576, -75.14593232080294 39.97453064273159))"
882aacb257fffff,"POLYGON ((-75.21573109962144 39.94568729201141, -75.22197927897933 39.9445756219184, -75.22379704860532 39.94013963023684, -75.21936754575592 39.93681561414849, -75.21312033805926 39.93792704263024, -75.21130166165221 39.94236272877937, -75.21573109962144 39.94568729201141))"
882aacb283fffff,"POLYGON ((-75.21619714018081 39.888050139088406, -75.22243770239427 39.88693919334157, -75.2242532164247 39.88250650997248, -75.21982907292706 39.879185077559924, -75.21358948000257 39.88029578188593, -75.2117730613878 39.88472816001317, -75.21619714018081 39.888050139088406))"
